user,con_min_ts,con_max_ts,con_mode_ts,con_mean_ts,discon_min_ts,discon_max_ts,discon_mode_ts,discon_mean_ts
DTAA/ABS0726,16336,9866,3667,408,17390,10100,3706,2206
DTAA/AIB0797,39032,61961,993,9775,64320,69216,64614,74472
DTAA/CHS0324,85888,16416,952,4740,2363,16492,1366,82636
DTAA/CLK0383,1995,74822,1995,85564,2361,75886,2361,195
DTAA/CMF0339,10827,18183,10324,58842,10927,85972,2022,49502
DTAA/COS0121,48236,659,95,53664,55021,3946,115,26762
DTAA/CTR0537,3280,78926,336,82488,11839,82622,11839,4021
DTAA/DFZ0063,84147,79071,2194,47364,12271,80603,1521,2057
DTAA/GYT0279,81150,71273,17083,25866,2230,73104,2230,28243
DTAA/HNS0858,78326,84829,441,9694,12744,84987,4848,83574
DTAA/JAH0544,12581,83223,2690,72589,14900,85652,5065,75578
DTAA/JBL0450,2162,797,311,78142,2315,1035,896,78270
DTAA/JSE0020,84663,15325,15325,32910,86315,15809,1099,34407
DTAA/KAD0059,2284,6839,906,68295,5180,8443,1575,83639
DTAA/KSP0927,24957,84029,323,81653,25058,85533,251,23933
DTAA/LKY0181,77382,86131,10635,12255,79901,284,284,26348
DTAA/NHL0253,84893,11807,6044,18283,6921,11951,6921,67541
DTAA/RBC0583,72694,27041,27041,2293,80199,27794,27794,5200
DTAA/RLC0442,75487,8747,254,67300,77955,9071,619,61169
DTAA/SDC0032,31688,7718,31840,15613,34908,7790,52250,44487
DTAA/SRN0275,3448,4195,3448,71354,3953,5062,3953,73752
DTAA/TKH0211,18329,16181,2215,85353,19936,17892,2488,1050
DTAA/ZAB0889,8367,80867,1730,57497,8811,85495,2039,6767
